from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id,max_waiting_time
U461Z301,U461Z2P,1,,1309_2557_241215,209_2101_250630,300
U97Z1P,U97Z2P,1,,109_1081_241215,163_1173_241216,120
U28Z1P,U28Z1P,1,,221_1810_250721,163_1173_241216,180
U28Z2P,U28Z2P,1,,221_1811_250721,163_1157_241215,180
U97Z1P,U97Z2P,1,,109_306_240805,163_1030_241215,120
U28Z1P,U28Z1P,1,,221_1838_250721,163_1030_241215,180
U461Z301,U461Z2P,1,,1309_2507_241216,209_2103_250630,300
U461Z301,U461Z2P,1,,1309_2517_241215,209_2105_250630,300
U461Z301,U461Z2P,1,,1309_2553_241215,209_2108_250630,300
U461Z301,U461Z2P,1,,1309_2565_241215,209_2110_250630,600
U461Z301,U461Z2P,1,,1309_2519_241216,209_2111_250630,300
U461Z301,U461Z2P,1,,1309_2529_241215,209_2113_250630,600
U461Z301,U461Z2P,1,,1309_2549_241215,209_2115_250630,300
U461Z301,U461Z2P,1,,1309_2559_241215,209_2117_250630,300
U461Z301,U461Z2P,1,,1309_2539_241215,209_2118_250630,600
U461Z301,U461Z2P,1,,1309_2551_241215,209_2120_250630,300
U461Z301,U461Z2P,1,,1309_2563_241215,209_2122_250630,600
U461Z301,U461Z2P,1,,1309_2511_241216,209_2124_250630,300
U461Z301,U461Z2P,1,,1309_2523_241216,209_2126_250630,600
U461Z301,U461Z2P,1,,1309_2533_241215,209_2128_250630,600
U461Z301,U461Z2P,1,,1309_2543_241215,209_2130_250630,300
U454Z301,U454Z2P,1,,1301_8605_241216,210_323_250401,600
U454Z301,U454Z2P,1,,1301_8605_250728,210_323_250401,600
U454Z301,U454Z2P,1,,1301_8611_241216,210_266_241216,600
U454Z301,U454Z2P,1,,1301_8611_250728,210_266_241216,600
U454Z301,U454Z2P,1,,1301_8613_241216,210_268_241216,600
U454Z301,U454Z2P,1,,1301_8613_250728,210_268_241216,600
U454Z301,U454Z2P,1,,1301_8615_241216,210_270_241216,600
U454Z301,U454Z2P,1,,1301_8615_250728,210_270_241216,600
U454Z301,U454Z2P,1,,1301_9323_241215,210_272_241216,1200
U454Z301,U454Z2P,1,,1301_9323_250726,210_272_241216,1200
U454Z301,U454Z2P,1,,1301_9325_241215,210_274_241216,1200
U454Z301,U454Z2P,1,,1301_9325_250726,210_274_241216,1200
U454Z301,U454Z2P,1,,1301_9327_241215,210_276_241216,1200
U454Z301,U454Z2P,1,,1301_9327_250728,210_276_241216,1200
U454Z301,U454Z2P,1,,1301_9329_241215,210_278_241216,600
U454Z301,U454Z2P,1,,1301_9329_250728,210_278_241216,600
U454Z301,U454Z2P,1,,1301_8625_241215,210_280_241216,600
U454Z301,U454Z2P,1,,1301_8625_250726,210_280_241216,600
U454Z301,U454Z2P,1,,1301_9331_241215,210_282_241216,600
U454Z301,U454Z2P,1,,1301_9331_250728,210_282_241216,600
U454Z301,U454Z2P,1,,1301_9333_241216,210_284_241216,600
U454Z301,U454Z2P,1,,1301_9333_250728,210_284_241216,600
U454Z301,U454Z2P,1,,1301_9335_241216,210_286_241216,600
U454Z301,U454Z2P,1,,1301_9335_250728,210_286_241216,600
U454Z301,U454Z2P,1,,1301_9337_241216,210_288_241216,600
U454Z301,U454Z2P,1,,1301_9337_250728,210_288_241216,600
U454Z301,U454Z2P,1,,1301_9339_241216,210_290_241216,600
U454Z301,U454Z2P,1,,1301_9339_250728,210_290_241216,600
U454Z301,U454Z2P,1,,1301_9341_241216,210_292_241216,600
U454Z301,U454Z2P,1,,1301_9341_250728,210_292_241216,600
U454Z301,U454Z2P,1,,1301_9343_241216,210_294_241216,600
U454Z301,U454Z2P,1,,1301_9343_250728,210_294_241216,600
U454Z301,U454Z2P,1,,1301_9345_241216,210_296_241216,600
U454Z301,U454Z2P,1,,1301_9345_250728,210_296_241216,600
U454Z301,U454Z2P,1,,1301_9347_241216,210_298_241216,600
U454Z301,U454Z2P,1,,1301_9347_250728,210_298_241216,600
U454Z301,U454Z2P,1,,1301_9349_241216,210_300_241216,600
U454Z301,U454Z2P,1,,1301_9349_250728,210_300_241216,600
U454Z301,U454Z2P,1,,1301_9351_241216,210_302_241216,600
U454Z301,U454Z2P,1,,1301_9351_250728,210_302_241216,600
U454Z301,U454Z2P,1,,1301_9353_241216,210_304_241216,600
U454Z301,U454Z2P,1,,1301_9353_250728,210_304_241216,600
U454Z301,U454Z2P,1,,1301_9355_241216,210_306_241216,1200
U454Z301,U454Z2P,1,,1301_9355_250728,210_306_241216,1200
U454Z301,U454Z2P,1,,1301_9357_241215,210_308_241216,1200
U454Z301,U454Z2P,1,,1301_9357_250726,210_308_241216,1200
U454Z301,U454Z3P,1,,1361_28215_250802,212_658_250721,600
U454Z301,U454Z3P,1,,1361_28215_250809,212_658_250721,600
U454Z301,U454Z3P,1,,1361_28215_241216,212_658_250721,600
U454Z301,U454Z3P,1,,1361_28217_241216,212_660_250721,600
U454Z301,U454Z3P,1,,1361_28219_250802,212_662_250721,600
U454Z301,U454Z3P,1,,1361_28219_250809,212_662_250721,600
U454Z301,U454Z3P,1,,1361_28219_241216,212_662_250721,600
U454Z301,U454Z3P,1,,1361_28221_241216,212_664_250721,600
U454Z301,U454Z3P,1,,1361_28223_250802,212_666_250721,600
U454Z301,U454Z3P,1,,1361_28223_250809,212_666_250721,600
U454Z301,U454Z3P,1,,1361_28223_241216,212_666_250721,600
U454Z301,U454Z3P,1,,1301_8623_241215,212_668_250721,600
U454Z301,U454Z3P,1,,1301_8623_250726,212_668_250721,600
U454Z301,U454Z3P,1,,1301_9329_241215,212_670_250721,600
U454Z301,U454Z3P,1,,1301_9329_250728,212_670_250721,600
U454Z301,U454Z3P,1,,1301_8625_241215,212_672_250721,600
U454Z301,U454Z3P,1,,1301_8625_250726,212_672_250721,600
U454Z301,U454Z3P,1,,1301_9331_241215,212_674_250721,600
U454Z301,U454Z3P,1,,1301_9331_250728,212_674_250721,600
U454Z301,U454Z3P,1,,1301_9333_241216,212_676_250721,600
U454Z301,U454Z3P,1,,1301_9333_241215,212_676_250721,600
U454Z301,U454Z3P,1,,1301_9333_250728,212_676_250721,600
U454Z301,U454Z3P,1,,1301_9335_241215,212_678_250721,600
U454Z301,U454Z3P,1,,1301_9335_241216,212_678_250721,600
U454Z301,U454Z3P,1,,1301_9335_250728,212_678_250721,600
U454Z301,U454Z3P,1,,1301_9337_241216,212_680_250721,600
U454Z301,U454Z3P,1,,1301_9337_241215,212_680_250721,600
U454Z301,U454Z3P,1,,1301_9337_250728,212_680_250721,600
U454Z301,U454Z3P,1,,1301_9339_241215,212_682_250721,600
U454Z301,U454Z3P,1,,1301_9339_241216,212_682_250721,600
U454Z301,U454Z3P,1,,1301_9339_250728,212_682_250721,600
U454Z301,U454Z3P,1,,1301_9341_241216,212_684_250721,600
U454Z301,U454Z3P,1,,1301_9341_241215,212_684_250721,600
U454Z301,U454Z3P,1,,1301_9341_250728,212_684_250721,600
U454Z301,U454Z3P,1,,1301_9343_241215,212_686_250721,600
U454Z301,U454Z3P,1,,1301_9343_241216,212_686_250721,600
U454Z301,U454Z3P,1,,1301_9343_250728,212_686_250721,600
U454Z301,U454Z3P,1,,1301_9345_241216,212_688_250721,600
U454Z301,U454Z3P,1,,1301_9345_241215,212_688_250721,600
U454Z301,U454Z3P,1,,1301_9345_250728,212_688_250721,600
U454Z301,U454Z3P,1,,1301_9347_241215,212_690_250721,600
U454Z301,U454Z3P,1,,1301_9347_241216,212_690_250721,600
U454Z301,U454Z3P,1,,1301_9347_250728,212_690_250721,600
U454Z301,U454Z3P,1,,1301_9349_241216,212_692_250721,600
U454Z301,U454Z3P,1,,1301_9349_241215,212_692_250721,600
U454Z301,U454Z3P,1,,1301_9349_250728,212_692_250721,600
