service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1111111_TR19,1,1,1,1,1,1,1,20241215,20251213
1111111_TR20,1,1,1,1,1,1,1,20250708,20250811
1111110_TR3,1,1,1,1,1,1,0,20241216,20251213
1111110_TR4,1,1,1,1,1,1,0,20250708,20250811
1111111_TR21,1,1,1,1,1,1,1,20241215,20251213
1111111_TR22,1,1,1,1,1,1,1,20250708,20250811
1111111_TR23,1,1,1,1,1,1,1,20250708,20250811
1111111_TR24,1,1,1,1,1,1,1,20241215,20251213
1111111_TR25,1,1,1,1,1,1,1,20250708,20250810
1111111_TR26,1,1,1,1,1,1,1,20241215,20251213
1111111_TR27,1,1,1,1,1,1,1,20241215,20251213
1111111_TR28,1,1,1,1,1,1,1,20241215,20250811
0111000_TR1,0,1,1,1,0,0,0,20250812,20250814
1111111_TR29,1,1,1,1,1,1,1,20241215,20250811
1111111_TR30,1,1,1,1,1,1,1,20241215,20250811
1111111_TR31,1,1,1,1,1,1,1,20241215,20250811
1111111_TR32,1,1,1,1,1,1,1,20241215,20250814
1111100_TR6,1,1,1,1,1,0,0,20241216,20250814
1111111_TR33,1,1,1,1,1,1,1,20241215,20250814
1111111_TR34,1,1,1,1,1,1,1,20241215,20250814
1111111_TR35,1,1,1,1,1,1,1,20250815,20251213
0000001_TR3,0,0,0,0,0,0,1,20241215,20251207
0000010_TR3,0,0,0,0,0,1,0,20241221,20251213
1111110_TR5,1,1,1,1,1,1,0,20241216,20251213
0011000_TR1,0,0,1,1,0,0,0,20250721,20250731
1111101_TR4,1,1,1,1,1,0,1,20241215,20251212
0011000_TR2,0,0,1,1,0,0,0,20250720,20250731
1111111_TR36,1,1,1,1,1,1,1,20241215,20251213
1111111_TR37,1,1,1,1,1,1,1,20241215,20251213
0011000_TR3,0,0,1,1,0,0,0,20250722,20250731
1111110_TR6,1,1,1,1,1,1,0,20241216,20251213
0000001_TR4,0,0,0,0,0,0,1,20241215,20251207
0011000_TR4,0,0,1,1,0,0,0,20250722,20250731
1000010_TR1,1,0,0,0,0,1,0,20250802,20250804
1111111_TR38,1,1,1,1,1,1,1,20241215,20251213
1111101_TR5,1,1,1,1,1,0,1,20241215,20251212
0011000_TR5,0,0,1,1,0,0,0,20250722,20250731
1111111_TR39,1,1,1,1,1,1,1,20241215,20251213
1111100_TR7,1,1,1,1,1,0,0,20241216,20251212
0011000_TR6,0,0,1,1,0,0,0,20250722,20250731
0000001_TR5,0,0,0,0,0,0,1,20241215,20251207
1000000_TR2,1,0,0,0,0,0,0,20241216,20251208
0111100_TR1,0,1,1,1,1,0,0,20241217,20251212
0011000_TR7,0,0,1,1,0,0,0,20250722,20250731
1111111_TR40,1,1,1,1,1,1,1,20241215,20251213
1111100_TR8,1,1,1,1,1,0,0,20250411,20250814
0000001_TR6,0,0,0,0,0,0,1,20241215,20251207
1111110_TR7,1,1,1,1,1,1,0,20250408,20250814
0111100_TR2,0,1,1,1,1,0,0,20250815,20250909
0000011_TR6,0,0,0,0,0,1,1,20250412,20250810
1111111_TR41,1,1,1,1,1,1,1,20241215,20251213
1111111_TR42,1,1,1,1,1,1,1,20250408,20250814
0111000_TR2,0,1,1,1,0,0,0,20250910,20250925
1111111_TR43,1,1,1,1,1,1,1,20250426,20250814
1111100_TR9,1,1,1,1,1,0,0,20241216,20251212
1111111_TR44,1,1,1,1,1,1,1,20250412,20250814
0111010_TR1,0,1,1,1,0,1,0,20250910,20250927
1111111_TR45,1,1,1,1,1,1,1,20250426,20250814
1111011_TR1,1,1,1,1,0,1,1,20241215,20251213
1111000_TR1,1,1,1,1,0,0,0,20241216,20251211
1111000_TR2,1,1,1,1,0,0,0,20241216,20251211
0000010_TR4,0,0,0,0,0,1,0,20241221,20251213
1111101_TR6,1,1,1,1,1,0,1,20250408,20250814
1111010_TR1,1,1,1,1,0,1,0,20241223,20250814
0000101_TR1,0,0,0,0,1,0,1,20250413,20250810
1111100_TR10,1,1,1,1,1,0,0,20250408,20250814
1111100_TR11,1,1,1,1,1,0,0,20250411,20250814
0000100_TR1,0,0,0,0,1,0,0,20250815,20250905
0000011_TR7,0,0,0,0,0,1,1,20250412,20250810
1111100_TR12,1,1,1,1,1,0,0,20250616,20251212
0001100_TR1,0,0,0,1,1,0,0,20250828,20250829
1111111_TR46,1,1,1,1,1,1,1,20250615,20251213
1111111_TR47,1,1,1,1,1,1,1,20250902,20250912
0001111_TR1,0,0,0,1,1,1,1,20250828,20250831
0000011_TR8,0,0,0,0,0,1,1,20250615,20251213
0000011_TR9,0,0,0,0,0,1,1,20250830,20250831
0000011_TR10,0,0,0,0,0,1,1,20250615,20251213
0000011_TR11,0,0,0,0,0,1,1,20250906,20250907
1111111_TR48,1,1,1,1,1,1,1,20250615,20251213
0000001_TR7,0,0,0,0,0,0,1,20250907,20250907
0000110_TR1,0,0,0,0,1,1,0,20250905,20250912
0011110_TR1,0,0,1,1,1,1,0,20250827,20250830
0000001_TR8,0,0,0,0,0,0,1,20250831,20250831
1111000_TR3,1,1,1,1,0,0,0,20250902,20250911
1111111_TR49,1,1,1,1,1,1,1,20250615,20251213
1111111_TR50,1,1,1,1,1,1,1,20250902,20250911
0011111_TR1,0,0,1,1,1,1,1,20250827,20250831
1111111_TR51,1,1,1,1,1,1,1,20250615,20251213
1111110_TR8,1,1,1,1,1,1,0,20250616,20251213
0000001_TR9,0,0,0,0,0,0,1,20250615,20251207
1111100_TR13,1,1,1,1,1,0,0,20241216,20251212
0000011_TR12,0,0,0,0,0,1,1,20241215,20251213
0111100_TR3,0,1,1,1,1,0,0,20241216,20251212
0000011_TR13,0,0,0,0,0,1,1,20241215,20251213
0111111_TR1,0,1,1,1,1,1,1,20241215,20251213
0000011_TR14,0,0,0,0,0,1,1,20241215,20251213
0000100_TR2,0,0,0,0,1,0,0,20241220,20251212
0111000_TR3,0,1,1,1,0,0,0,20241216,20251211
0111111_TR2,0,1,1,1,1,1,1,20241215,20251213
0000100_TR3,0,0,0,0,1,0,0,20241220,20251212
0000011_TR15,0,0,0,0,0,1,1,20241215,20251213
0111100_TR4,0,1,1,1,1,0,0,20241216,20251212
0000011_TR16,0,0,0,0,0,1,1,20250329,20251028
1111100_TR14,1,1,1,1,1,0,0,20250331,20251027
0011001_TR1,0,0,1,1,0,0,1,20250601,20250803
1111100_TR15,1,1,1,1,1,0,0,20250801,20250807
0000011_TR17,0,0,0,0,0,1,1,20250329,20251028
0011000_TR8,0,0,1,1,0,0,0,20250602,20250731
1111111_TR52,1,1,1,1,1,1,1,20250329,20251028
1111111_TR53,1,1,1,1,1,1,1,20250329,20251028
0011000_TR9,0,0,1,1,0,0,0,20250601,20250731
1111101_TR7,1,1,1,1,1,0,1,20250801,20250807
1111110_TR9,1,1,1,1,1,1,0,20250801,20250807
1111000_TR4,1,1,1,1,0,0,0,20250331,20251027
0000100_TR4,0,0,0,0,1,0,0,20250404,20251024
0000011_TR18,0,0,0,0,0,1,1,20250531,20250803
0000100_TR5,0,0,0,0,1,0,0,20250801,20250801
1111111_TR54,1,1,1,1,1,1,1,20250329,20251028
1111010_TR2,1,1,1,1,0,1,0,20250531,20250806
0000101_TR2,0,0,0,0,1,0,1,20250801,20250803
0000010_TR5,0,0,0,0,0,1,0,20250531,20250802
1111111_TR55,1,1,1,1,1,1,1,20250329,20251028
0001000_TR1,0,0,0,1,0,0,0,20250807,20250807
1111011_TR2,1,1,1,1,0,1,1,20250517,20250806
0000100_TR6,0,0,0,0,1,0,0,20250516,20250801
1111111_TR56,1,1,1,1,1,1,1,20250801,20250807
1111100_TR16,1,1,1,1,1,0,0,20250331,20251027
1111011_TR3,1,1,1,1,0,1,1,20250531,20250807
1111110_TR10,1,1,1,1,1,1,0,20250804,20250814
0011110_TR2,0,0,1,1,1,1,0,20241216,20250802
1111111_TR57,1,1,1,1,1,1,1,20250804,20250814
0011111_TR2,0,0,1,1,1,1,1,20241215,20250803
0011111_TR3,0,0,1,1,1,1,1,20241215,20250803
0011111_TR4,0,0,1,1,1,1,1,20241215,20250803
0011111_TR5,0,0,1,1,1,1,1,20241215,20250803
0000001_TR10,0,0,0,0,0,0,1,20250810,20250810
0000011_TR19,0,0,0,0,0,1,1,20250628,20250831
0000011_TR20,0,0,0,0,0,1,1,20250322,20251028
0000011_TR21,0,0,0,0,0,1,1,20250322,20251028
0000011_TR22,0,0,0,0,0,1,1,20250322,20251028
0000001_TR11,0,0,0,0,0,0,1,20250607,20250803
0000010_TR6,0,0,0,0,0,1,0,20250322,20251028
0000001_TR12,0,0,0,0,0,0,1,20250323,20251026
0000001_TR13,0,0,0,0,0,0,1,20250323,20251026
1111100_TR17,1,1,1,1,1,0,0,20250317,20251212
1111111_TR58,1,1,1,1,1,1,1,20241215,20251213
1111100_TR18,1,1,1,1,1,0,0,20241216,20251212
0011100_TR1,0,0,1,1,1,0,0,20250630,20250801
1111100_TR19,1,1,1,1,1,0,0,20250804,20251212
0011100_TR2,0,0,1,1,1,0,0,20250616,20250801
1111100_TR20,1,1,1,1,1,0,0,20250120,20250829
1111100_TR21,1,1,1,1,1,0,0,20241216,20251212
0011100_TR3,0,0,1,1,1,0,0,20250728,20250801
1111100_TR22,1,1,1,1,1,0,0,20241216,20250828
1111100_TR23,1,1,1,1,1,0,0,20250616,20251212
1111100_TR24,1,1,1,1,1,0,0,20241227,20250829
1111100_TR25,1,1,1,1,1,0,0,20250616,20251212
0000011_TR23,0,0,0,0,0,1,1,20241215,20251213
1111100_TR26,1,1,1,1,1,0,0,20250804,20250814
0011100_TR4,0,0,1,1,1,0,0,20241216,20250801
1111111_TR59,1,1,1,1,1,1,1,20250804,20251213
0000010_TR7,0,0,0,0,0,1,0,20250809,20250809
1111101_TR8,1,1,1,1,1,0,1,20250804,20250814
0011101_TR1,0,0,1,1,1,0,1,20241215,20250803
0000011_TR24,0,0,0,0,0,1,1,20250809,20250810
0011100_TR5,0,0,1,1,1,0,0,20241216,20250801
0000001_TR14,0,0,0,0,0,0,1,20250323,20251026
0000010_TR8,0,0,0,0,0,1,0,20250322,20251028
1111110_TR11,1,1,1,1,1,1,0,20241216,20251213
0000001_TR15,0,0,0,0,0,0,1,20241215,20251207
0000001_TR16,0,0,0,0,0,0,1,20250629,20250824
1111110_TR12,1,1,1,1,1,1,0,20250628,20250823
1111100_TR27,1,1,1,1,1,0,0,20241216,20251212
1111100_TR28,1,1,1,1,1,0,0,20250630,20250822
0000011_TR25,0,0,0,0,0,1,1,20250615,20251213
0000011_TR26,0,0,0,0,0,1,1,20250628,20250824
1111100_TR29,1,1,1,1,1,0,0,20250630,20250822
0010000_TR1,0,0,1,0,0,0,0,20250728,20250730
0000011_TR27,0,0,0,0,0,1,1,20241215,20251213
1111111_TR60,1,1,1,1,1,1,1,20241215,20251213
1111111_TR61,1,1,1,1,1,1,1,20250628,20250824
1111100_TR30,1,1,1,1,1,0,0,20250616,20251212
1111111_TR62,1,1,1,1,1,1,1,20241215,20251213
1111111_TR63,1,1,1,1,1,1,1,20250628,20250824
0000011_TR28,0,0,0,0,0,1,1,20250426,20250928
0000011_TR29,0,0,0,0,0,1,1,20241215,20251213
1111100_TR31,1,1,1,1,1,0,0,20250630,20250814
1111100_TR32,1,1,1,1,1,0,0,20250901,20251212
1111100_TR33,1,1,1,1,1,0,0,20250815,20250829
1111100_TR34,1,1,1,1,1,0,0,20250825,20250829
1111100_TR35,1,1,1,1,1,0,0,20250815,20250822
1111100_TR36,1,1,1,1,1,0,0,20241216,20250829
0000011_TR30,0,0,0,0,0,1,1,20241215,20251213
1111100_TR37,1,1,1,1,1,0,0,20250310,20250829
1111100_TR38,1,1,1,1,1,0,0,20250310,20251212
1111111_TR64,1,1,1,1,1,1,1,20241214,20251212
1000100_TR1,1,0,0,0,1,0,0,20250801,20250804
1111111_TR65,1,1,1,1,1,1,1,20241215,20250831
1111111_TR66,1,1,1,1,1,1,1,20250901,20251213
1111111_TR67,1,1,1,1,1,1,1,20241215,20251213
1111111_TR68,1,1,1,1,1,1,1,20241215,20250830
1111111_TR69,1,1,1,1,1,1,1,20250831,20251213
1111110_TR13,1,1,1,1,1,1,0,20241216,20251213
1111111_TR70,1,1,1,1,1,1,1,20241215,20251213
1111100_TR39,1,1,1,1,1,0,0,20250519,20251212
0000011_TR31,0,0,0,0,0,1,1,20241215,20251213
1111101_TR9,1,1,1,1,1,0,1,20241215,20251212
1111100_TR40,1,1,1,1,1,0,0,20250428,20250829
1111111_TR71,1,1,1,1,1,1,1,20250426,20250928
