vehicle_category_id,child_sequence,boarding_area_id
metro_vlak,5,U52K1B5
metro_vlak,1,U52K2B1
metro_vlak,5,U601K1B5
metro_vlak,1,U601K2B1
metro_vlak,5,U228K1B5
metro_vlak,1,U228K2B1
metro_vlak,5,U50K1B5
metro_vlak,1,U50K1B1
metro_vlak,5,U50K2B5
metro_vlak,1,U50K2B1
metro_vlak,5,U385K1B5
metro_vlak,2,U385K1B2
metro_vlak,4,U385K2B4
metro_vlak,1,U385K2B1
metro_vlak,5,U597K1B5
metro_vlak,1,U597K2B1
metro_vlak,4,U527K1B4
metro_vlak,2,U527K1B2
metro_vlak,4,U527K2B4
metro_vlak,2,U527K2B2
metro_vlak,1,U190K1B1
metro_vlak,4,U190K1B4
metro_vlak,5,U190K2B5
metro_vlak,2,U190K2B2
metro_vlak,5,U897K1B5
metro_vlak,1,U897K1B1
metro_vlak,3,U897K1B3
metro_vlak,5,U897K2B5
metro_vlak,3,U897K2B3
metro_vlak,1,U897K2B1
metro_vlak,4,U1072K01B4
metro_vlak,2,U1072K01B2
metro_vlak,4,U1072K02B4
metro_vlak,2,U1072K02B2
